Habitat	Hab_Ordinal	Ar4EP	Ar5EP	He7EH	He8EH	Ar17EP	Ar39EP	Co46EH	Ar50EP	Mi144ES	Ar179EP	Ar208EP	Co222EP	Co244EH	Co300EF	Ar312EP	Co346EP	Ar421EP	He496EH	Ar526EP	Co540ES	Le116EH	Le176EH	Le19EH	Le203EH	Le310EH	Tr432EP	Le90EH	Ar2NP	Ar3NP	Op6NP	Th13NF	Co15NP	Ar20NP	Co23NP	Ge26NP	Li27NP	Op33NP	Co41NP	He44NH	Sy47NS	Bl59NS	Co78NH	Co79NP	Co82NP	Co87NP	Co88NP	Co98NP	He101NH	He118NH	He124NH	He157NH	He159NH	Ps218NS	He230NP	He232NH	Sc243NP	He248NP	He254NH	Co262NP	Co303NP	Co343NP	Co377NP	Co385NP	Co395NH	Co475NP	Co504NS	Ar516NP	Co541NS	Co551NP	Co646NP	Co661NS	Co685NP	Co734NH	Co771NP	He890NH	He926NH	Co985NP	Li1006NP	Le1038NH	Le10NH	Le220NH	Le252NH	Le269NH	Le345NH	Le485NH	Le892NH	Ju9IH	Co16IF	Ar21IP	Ar22IP	Ar24IP	Ar28IP	Co31IH	Co32IP	Ar34IP	Ps36IS	Po37IS	Ps38IP	Co40IS	Co45IP	Ju48IS	Co51IP	Co52IP	Ju53IS	De56IP	Co57IP	He60IH	Co61IS	Ju62IS	Co65IP	Co66IP	Po71IS	Co72IS	Co74IPol	Co89IP	Ps103IP	Co108IP	Co113IF	Co120IH	Ps121IS	Or123IS	Ar127IP	Th135IH	Ar140IP	Co143IS	Co145IS	Co161IP	Co193IP	Po214IS	Co225IH	Co231IS	Ar233IP	Ar234IP	Ar235IP	Co237IH	Or245IS	Ar246IP	Co247IP	Ar249IP	Ar250IP	Ar260IP	Co264IP	Co265IP	Co266IH	Co268IS	Co271IP	Co277IH	Ju282IS	He289IH	Co292IS	Co308IS	Ju309IS	He320IH	Ar330IP	Ar333IP	He335IH	Sc336IP	Co342IS	Co344IH	De352IP	Th359IH	Co363IH	Co386IH	Co462IS	Ar488IP	Ar489IP	Co523IH	Co569IP	Ar653IP	Co673IH	Co682IS	Ar697IP	Co748IH	Ar761IP	Co767IP	Co769IS	Co772IS	Co777IS	He818IH	Co828IS	Co885IP	Co935IH	Co949IH	Co963IS	Co974IH	Co980IS	Co981IS	Ar998IP	Co1003IP	Co1005IS	Ar1014IP	Co1040IS	Co1043IP	Le1015IH	Le1IH	Le372IH	Le410IH	Le440IH	Le731IH	Le797IH	Le96IH	Le982IH
NAT	1	2	13	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	39	0	12	0	0	0	0	0	31	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
NAT	1	1	2	1	6	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	2	0	21	0	1	0	0	0	0	1	60	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0
NAT	1	1	2	2	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	8	0	0	11	1	26	1	20	0	0	0	0	1	104	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	1	0	0	2	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0
NAT	1	1	10	0	13	5	0	10	6	0	0	0	0	0	0	0	5	0	0	0	0	1	0	10	0	0	1	0	44	0	1	0	0	0	0	0	79	0	6	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	10	2	0	0	38	0	0	0	35	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	16	0	4	0	0	0	0
NAT	1	0	2	3	9	0	1	14	2	3	2	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	68	0	2	0	0	4	0	3	409	0	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	37	0	3	1	0	5	0	0	0	0	3	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	4	1	0	0	0	0
NAT	1	1	7	1	4	37	2	6	2	0	0	1	3	2	0	4	99	2	0	0	0	1	0	0	0	0	0	0	36	0	0	0	0	4	0	0	93	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	40	0	15	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0
NAT	1	0	0	1	17	0	0	18	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	4	0	0	5	0	1	82	0	40	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
NAT	1	0	5	3	3	21	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	4	1	1	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NAT	1	0	0	4	4	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	21	3	1	0	0	3	0	0	21	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	31	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0
EXO	2	0	0	0	0	53	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	10	0	0	1	0	0	124	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	2	0	3	9	0	21	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
