Genus	Family	Order	Class	Origin	bodysize	FoodPl	FoodAni	FoodFg	FoodDet	GetFood	IngestFood	ActDay	ActNig	ActTwi	Dispersal	
Ar4EP	Porrhomma	Linyphiidae	Araneae	Arachnida	IND	2	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar5EP	Rugathodes	Theridiidae	Araneae	Arachnida	IND	1.8	0	1	0	0	GetLact 	IngestEDS	0	1	0	Hdsip
He7EH	Cixius	Cixiidae	Hemiptera	Insecta	IND	5	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
He8EH	Aphrodes	Cicadellidae	Hemiptera	Insecta	IND	2.31	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Ar17EP	Pardosa	Lycosidae	Araneae	Arachnida	IND	6	0	1	0	0	GetHact 	IngestEDS	1	0	0	Hdsip
Ar39EP	Pisaura	Pisauridae	Araneae	Arachnida	IND	10.5	0	1	0	0	GetHact 	IngestEDS	1	1	1	Ldisp
Co46EH	Drouetius	Curculionidae	Coleoptera	Insecta	IND	8.12	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Ar50EP	Lepthyphantes	Linyphiidae	Araneae	Arachnida	IND	3.25	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Mi144ES	Trigoniophthalmus	Machilidae	Microcoryphia	Insecta	IND	14.11	0	1	1	0	GetHact 	IngestCC	0	0	1	Ldisp
Ar179EP	Sancus	Tetragnathidae	Araneae	Arachnida	IND	4.05	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar208EP	Lasaeola	Theridiidae	Araneae	Arachnida	IND	2	0	1	0	0	GetLact 	IngestEDS	0	1	0	Hdsip
Co222EP	Trechus	Carabidae	Coleoptera	Insecta	IND	1.12	0	1	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Co244EH	Alestrus	Elateridae	Coleoptera	Insecta	IND	5.01	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co300EF	Tarphius	Zopheridae	Coleoptera	Insecta	IND	2.84	0	0	1	0	GetHact 	IngestCC	1	1	1	Ldisp
Ar312EP	Acorigone	Linyphiidae	Araneae	Arachnida	IND	1.4	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
